main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [48284.16436348401, 14891.347349596108] (2) [47363, 14637]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [48166.35399225434, 14840.4607829477] (2) [47257, 14641]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [48118.89477733274, 14796.68894928298] (2) [47257, 14641]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [47972.058030612745, 14774.668878958963] (2) [47198, 14641]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [47972.058030612745, 14774.668878958963] (2) [47198, 14641]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [47733.897868212625, 14764.025393137154] (2) [47038, 14655]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [47733.897868212625, 14764.025393137154] (2) [47038, 14655]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [47587.229612787494, 14712.439699416273] (2) [46953, 14666]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [47587.229612787494, 14712.439699416273] (2) [46953, 14666]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [47536.62314773784, 14697.288402734774] (2) [46868, 14663]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [47536.62314773784, 14697.288402734774] (2) [46868, 14663]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [47480.17436872152, 14676.122838696347] (2) [46604, 14635]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [47480.17436872152, 14676.122838696347] (2) [46604, 14635]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [47480.17436872152, 14676.122838696347] (2) [46488, 14633]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [47322.08163621907, 14684.999217418203] (2) [46488, 14633]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [47064.28028588048, 14708.29060724215] (2) [46438, 14634]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [47064.28028588048, 14708.29060724215] (2) [46438, 14634]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [46968.45268881443, 14686.741213965866] (2) [46355, 14636]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [46938.16472078058, 14679.5073789281] (2) [46355, 14636]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [46932.17880348651, 14677.633535389838] (2) [46106, 14661]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [46924.68671365069, 14673.748571183884] (2) [46106, 14661]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [46924.68671365069, 14673.748571183884] (2) [46106, 14661]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [46811.49617641936, 14663.81306641785] (2) [46106, 14661]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [46811.49617641936, 14663.81306641785] (2) [46048, 14670]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [46531.97765486596, 14675.264370947742] (2) [46048, 14670]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [46531.97765486596, 14675.264370947742] (2) [45885, 14708]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [46394.21887772993, 14674.488939380613] (2) [45885, 14708]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [46394.21887772993, 14674.488939380613] (2) [45755, 14732]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [46394.21887772993, 14674.488939380613] (2) [45755, 14732]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [46348.77279638755, 14674.767514864103] (2) [45607, 14748]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [46348.77279638755, 14674.767514864103] (2) [45607, 14748]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [46329.04763257112, 14676.267444844809] (2) [45553, 14745]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [46329.04763257112, 14676.267444844809] (2) [45553, 14745]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [46245.126323161094, 14697.091064125016] (2) [45438, 14746]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [46245.126323161094, 14697.091064125016] (2) [45438, 14746]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [45982.23596342271, 14748.79399919595] (2) [45324, 14743]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [45982.23596342271, 14748.79399919595] (2) [45324, 14743]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [45886.34136477648, 14768.906056936701] (2) [45242, 14740]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [45886.34136477648, 14768.906056936701] (2) [45242, 14740]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [45800.269285721966, 14794.05786298487] (2) [45112, 14757]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [45800.269285721966, 14794.05786298487] (2) [45112, 14757]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [45774.152802804965, 14801.831183350456] (2) [45072, 14760]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [45774.152802804965, 14801.831183350456] (2) [45072, 14760]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [45737.00264407003, 14795.744776133499] (2) [44972, 14799]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [45737.00264407003, 14795.744776133499] (2) [44972, 14799]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [45728.24464129968, 14793.207510690434] (2) [44827, 14843]
